task_completion_time,feedback_rating,attendance_rate,performance_score,outcome
5.98,5.0,100.0,80.21,Excel
5.41,5.0,100.0,85.96,Excel
6.69,5.0,100.0,75.46,Excel
7.53,4.83,85.94,61.83,Struggle
6.93,4.59,97.04,71.53,Excel
4.28,4.88,100.0,77.81,Excel
8.79,4.3,95.27,56.48,Struggle
7.09,3.87,98.33,70.12,Excel
8.08,3.98,95.14,71.24,Excel
6.95,3.16,88.75,62.85,Struggle
6.18,4.83,100.0,73.92,Excel
3.83,5.0,100.0,88.73,Excel
6.79,4.2,100.0,60.17,Struggle
4.43,5.0,100.0,89.24,Excel
8.66,4.45,80.19,61.53,Struggle
7.92,4.01,88.48,64.96,Struggle
5.46,5.0,97.56,76.78,Excel
8.13,4.86,95.8,69.46,Struggle
8.54,4.09,86.49,57.74,Struggle
6.36,4.53,100.0,73.99,Excel
6.62,4.56,92.3,69.24,Struggle
7.43,4.89,92.27,76.64,Excel
8.3,3.0,96.04,49.77,Struggle
6.47,4.36,96.62,76.25,Excel
7.5,5.0,87.71,78.99,Excel
6.02,3.8,94.58,74.74,Excel
8.61,3.6,94.3,52.07,Struggle
7.61,4.41,83.8,66.34,Struggle
7.08,5.0,91.83,77.05,Excel
4.33,5.0,98.44,85.89,Excel
6.25,4.27,96.91,67.68,Struggle
8.49,3.17,92.9,57.78,Struggle
7.62,3.96,81.47,59.31,Struggle
7.44,4.55,94.32,76.81,Excel
6.67,5.0,99.65,73.06,Excel
7.03,5.0,100.0,68.38,Struggle
5.21,4.84,100.0,92.0,Excel
5.27,5.0,100.0,87.34,Excel
9.04,4.32,95.89,65.42,Struggle
7.52,4.34,94.32,62.4,Struggle
7.45,4.89,100.0,73.42,Excel
5.41,4.61,100.0,83.87,Excel
7.15,3.46,91.75,67.05,Struggle
7.07,4.77,97.91,70.29,Excel
6.9,5.0,95.86,64.61,Struggle
5.7,4.63,100.0,76.64,Excel
6.82,5.0,93.47,81.14,Excel
6.43,4.63,87.43,74.56,Excel
6.42,3.02,95.42,60.18,Struggle
5.31,4.47,97.09,84.46,Excel
6.57,4.39,96.73,78.2,Excel
5.55,4.61,100.0,80.33,Excel
6.77,3.99,89.94,67.54,Struggle
7.34,3.48,95.66,68.12,Struggle
7.46,2.54,82.52,52.2,Struggle
7.17,3.03,88.79,59.08,Struggle
7.72,3.69,90.03,69.86,Struggle
4.7,5.0,100.0,79.48,Excel
7.92,4.33,94.51,71.33,Excel
7.35,4.73,98.31,65.69,Struggle
7.38,4.91,100.0,66.2,Struggle
7.19,4.68,100.0,71.33,Excel
5.56,4.73,96.95,80.23,Excel
7.15,4.59,90.97,62.27,Struggle
7.07,4.8,100.0,71.83,Excel
7.1,4.44,92.4,66.35,Struggle
6.86,3.82,86.84,68.42,Struggle
5.3,5.0,100.0,85.14,Excel
7.69,4.69,89.19,72.71,Excel
5.57,4.95,100.0,80.33,Excel
8.56,4.65,93.46,67.2,Struggle
6.23,5.0,91.91,80.53,Excel
9.17,5.0,88.14,61.59,Struggle
5.97,4.89,99.42,69.64,Struggle
6.32,4.15,100.0,66.45,Struggle
6.11,4.75,100.0,79.49,Excel
